shorthand,question_en,category,type,options,orda_mapping,comments,help
first-name,First name,Contact Details,free form,,foaf:person/firstName,,"Legal given name as it appears on official documents (passport, institutional records)."
last-name,Last name,Contact Details,free form,,foaf:person/lastName,,Legal family name as it appears on official documents.
pref-name,Preferred name,Contact Details,free form,,person/preferredName,,"Name you prefer to be called, if different from your legal name. Leave blank if not applicable."
email-inst,Institutional email address,Contact Details,free form,,person/workEmail,,Use the email address assigned by your research institution or organization. Do not use a personal email address.
researcher-addr-country,Your country,Contact Details,selection,,person -has- PostalAddress/addressCountry,,Country where you currently reside.
researcher-addr-state,Your state or province,Contact Details,free form,,person -has- PostalAddress/addressRegion,,State or province where you currently reside.
researcher-addr-city,Your city,Contact Details,free form,,person -has- PostalAddress/addressCity,,City where you currently reside.
profile-inst,Link to institutional profile,Contact Details,free form,,foaf:person/workInfoHomepage,,"URL that helps verify your affiliation—for example an institutional profile, staff directory entry, or research group page. If you have no public profile, briefly explain how affiliation can be verified."
orcid,ORCID iD,Contact Details,free form,,researcher/orcid,,"Optional. Your ORCID iD (Open Researcher and Contributor ID), e.g. 0000-0002-1825-0097. See https://orcid.org."
cv,Curriculum vitae,Qualifications,file upload,,,,Upload your CV or résumé (usually PDF or Word). Some forms also use this field for area of expertise or publication history.
discipline-expertise,Discipline or Area of expertise,Previous Experience,selection,"Business communication; Civic communication; Climate and environment; Computer science; Coordinated inauthentic behavior; Digital culture; Education; Election monitoring; Fact-checking; Hate speech and extremism; Health communication; Journalism, news and media; Marketing; Other; Political communication; Public health; Science communication; Trust and safety",,,Select the discipline or area of expertise that best describes your research background.
org-name,Organisation name,Affiliation,free form,,,,"Full legal name of your employing or affiliated organization. If not listed in a dropdown, enter the name manually."
org-department,Department in organisation,Affiliation,free form,,,,"Department, school, lab, or research unit. Enter ""N/A"" if your institution has no separate department."
affiliation-type,Type of organisation,Affiliation,selection,"Academic institution; Government agency; Independent research organization (IRO); Intergovernmental organization (IGO); Non-governmental organization (NGO); Not-for-profit body, organization or association (based in the EU 27 Member States only); Other",,,"Organisation category (e.g. university, NGO, government agency, EU not-for-profit research body). Used across Meta, TikTok, X, and similar forms."
org-addr-street,Street Address,Affiliation,free form,,,,Street address of the organization.
org-addr-city,City,Affiliation,free form,,,,City where the organization is located.
org-addr-postcode,Postcode,Affiliation,free form,,,,Postal or ZIP code of the organization.
org-addr-state,State,Affiliation,free form,,,,"State, province, or region of the organization."
org-addr-country,Country,Affiliation,free form,,,,Country where the organization is legally based.
org-website,Organisation Website,Affiliation,free form,,,,Public homepage of the organization (full URL including https://).
org-role,Role in the Organisation,Affiliation,free form,,,,"Your role or job title within the organization (e.g. PhD student, postdoctoral researcher, faculty)."
org-evidence,Evidence for Affiliation,Affiliation,file upload,,,,"Upload documentation that supports your affiliation (e.g. endorsement letter, appointment letter). Check platform rules for accepted file types and size limits."
np-status,Non-Profit Status,Funding / Commercial Interests,free form,,,,"Describe your organization's affiliation (e.g. university, lab, NGO) and not-for-profit or public-interest status, where relevant."
commercial-purpose,Independence from commercial interests,Funding / Commercial Interests,selection,Yes; No,,,"Confirm whether the research is conducted independently of commercial interests. Be prepared to substantiate with evidence (mission, governance, funding, prior research, organizational ties) if the platform requests it."
funding-received,Did you receive funding for this research?,Funding / Commercial Interests,selection,Yes; No,,,Answer Yes if any grant sponsor or institutional funding supports this research project.
funding-sources,Funding Sources,Funding / Commercial Interests,free form,,,,"Disclose all funding for the research, including amounts and direct and indirect sources (grants, sponsors, institutional support)."
research-title,Title,Research Project,free form,,,,"Short, descriptive title for the research program or project (e.g. ""Social media usage among European political parties""). Some platforms limit length (often around 60 characters) and may not allow changes after submission."
research-keywords,Keywords,Research Project,multi-select,,,,"Keywords, tags, or subject categories that describe the research field or topic."
research-summary,Summary,Research Project,free form,,,,"Describe how the project advances scientific knowledge or serves the public interest: main objectives, focus areas, and questions you aim to answer. Many platforms require substantial detail (often 2,000+ characters)."
research-question,Research Questions,Research Project,free form,,,,State the main research questions or hypotheses your project will address.
research-method,Methods,Research Project,free form,,,,"Describe your research design, methods, data sources, and analysis plan."
research-sysrisk,Systemic Risk,Research Project,free form,,,,"Explain how the research relates to detection, identification, or understanding of systemic risks in the Union under DSA Article 34(1). Reference specific risk categories where applicable."
research-outcomes,Planned Research Outcomes,Research Project,free form,,,,"Expected outputs and deliverables (e.g. publications, datasets, policy briefs, software)."
research-citations,References and citations,Research Project,free form,,,,"Literature review summary, bibliography, or reference list supporting the proposal. Optional unless required."
research-start,Research Start Date,Research Project,date-select,,,,Planned start date of the research project. Use the date format required by the platform (often MM/DD/YYYY).
research-timeline,Research timeline,Research Project,free form,,,,"Outline the project timeline, including major phases and milestones."
research-publication,How do you plan to publish your research?,Research Project,free form,,,,"How you plan to publish or disseminate results (e.g. peer-reviewed articles, preprints, conferences, reports). Note any expected publication date if the platform ties data access to publication."
research-ethics,Evidence of ethics approval,Research Project,file upload,,,,"Upload ethics or institutional review board (IRB) approval or exemption, if required by your institution or the platform."
data-requested,Data Requested,Requested Data,free form,,,,"Specify which platform data you need (data types, fields, APIs, or products) and how they are essential to the research described above—including why the data are not reasonably available by other means."
data-requested-U18,Does your research require you to have access to data for users who are under the age of 18?,Requested Data,selection,Yes; No,,,Indicate whether the research requires access to data relating to users under 18. Additional safeguards or restricted environments may apply.
data-acc-start,Data Access Start Date,Requested Data,date-select,,,,Date from which you need access to platform data. Must be consistent with your project timeline.
data-acc-end,Data Access End Date,Requested Data,date-select,,,,Date until which you need access. Justify the duration; some platforms cap maximum access (e.g. two years).
data-geoscope,Geographical scope of requested data,Requested Data,free form,,,,"Geographic scope of the data requested (countries, regions, or markets)."
data-expl,Justification for requested data,Requested Data,free form,,,,Explain why the requested access period and scope are necessary and proportionate to the research aims.
data-refresh,How often is data refreshed?,Requested Data,free form,,,,"How often you will refresh or update the dataset during the project (e.g. daily, weekly, never)."
prev-experience,Have you applied for access with the platform before?,Previous Experience,selection,Yes; No,,,Whether you have previously applied for or participated in this platform's researcher or API access program.
tom-storage-start,Data Storage Start Date,Data Security,date-select,,,,"When you begin retaining platform data, or the start of the retention period. Some forms express this as a duration bucket instead of a date."
tom-storage-end,Data Storage End Date,Data Security,free form,,,,"When retained platform data will be deleted or anonymized, or the end of the retention period."
tom-general,Technical and organisational measures,Data Security,free form,,,,"Describe technical and organizational measures to protect personal data: access controls, encryption, storage location, purpose limitation, incident response, and who is responsible for GDPR compliance. Mention relevant certifications if applicable."
